Rank,Title,Year,Duration,Genre,Image
153,Le Pont de la rivière Kwaï,1957,2 h 41 min.,"Aventure, Drame, Guerre",https://media.senscritique.com/media/000008503406/300/le_pont_de_la_riviere_kwai.jpg
154,Casino,1995,2 h 58 min.,"Biopic, Drame, Gangster",https://media.senscritique.com/media/000015404652/300/casino.jpg
155,Amour,2012,2 h 05 min.,"Drame, Romance",https://media.senscritique.com/media/000020398178/300/amour.jpg
156,"Arnaques, crimes & botanique",1998,1 h 47 min.,"Comédie, Gangster",https://media.senscritique.com/media/000000151189/300/arnaques_crimes_botanique.jpg
157,3 Billboards - Les Panneaux de la vengeance,2017,1 h 56 min.,"Comédie, Policier, Drame",https://media.senscritique.com/media/000017529020/300/3_billboards_les_panneaux_de_la_vengeance.jpg
158,Le Septième Sceau,1957,1 h 36 min.,"Drame, Fantastique",https://media.senscritique.com/media/000004811431/300/le_septieme_sceau.jpg
159,Morse,2008,1 h 55 min.,"Drame, Épouvante-Horreur",https://media.senscritique.com/media/000000093489/300/morse.jpg
160,The Wrestler,2008,1 h 49 min.,"Drame, Sport",https://media.senscritique.com/media/000006633099/300/the_wrestler.jpg
161,Sur les quais,1954,1 h 48 min.,"Policier, Drame, Thriller",https://media.senscritique.com/media/000010874905/300/sur_les_quais.jpg
162,Le Loup de Wall Street,2013,3 h.,"Biopic, Comédie dramatique, Policier",https://media.senscritique.com/media/000006014067/300/le_loup_de_wall_street.jpg
163,Elephant Man,1980,2 h 04 min.,"Biopic, Drame",https://media.senscritique.com/media/000012268597/300/elephant_man.jpg
164,Vice-versa,2015,1 h 34 min.,"Animation, Comédie, Drame",https://media.senscritique.com/media/000009540773/300/vice_versa.jpg
165,V pour Vendetta,2006,2 h 12 min.,"Fantastique, Science-fiction, Thriller",https://media.senscritique.com/media/000004876958/300/v_pour_vendetta.jpg
166,Slumdog Millionaire,2008,2 h.,"Drame, Romance, Thriller",https://media.senscritique.com/media/000004851880/300/slumdog_millionaire.jpg
167,Le Guépard,1963,3 h 06 min.,"Drame, Historique",https://media.senscritique.com/media/000021492545/300/le_guepard.png
168,There Will Be Blood,2007,2 h 38 min.,Drame,https://media.senscritique.com/media/000000128779/300/there_will_be_blood.jpg
169,Warrior,2011,2 h 20 min.,"Drame, Sport",https://media.senscritique.com/media/000008710115/300/warrior.jpg
170,No Country for Old Men,2007,2 h 02 min.,"Policier, Drame, Thriller",https://media.senscritique.com/media/000019855627/300/no_country_for_old_men.jpg
171,Blade Runner,1982,1 h 57 min.,"Science-fiction, Film noir, Thriller",https://media.senscritique.com/media/000019855182/300/blade_runner.jpg
172,Room,2015,1 h 58 min.,"Drame, Thriller",https://media.senscritique.com/media/000013727481/300/room.jpg
173,Le crime était presque parfait,1954,1 h 45 min.,"Policier, Thriller",https://media.senscritique.com/media/000013858611/300/le_crime_etait_presque_parfait.jpg
174,Dog Days,2002,2 h.,Drame,https://media.senscritique.com/media/000000058318/300/dog_days.jpg
175,Avengers: Infinity War,2018,2 h 29 min.,"Action, Aventure, Fantasy",https://media.senscritique.com/media/000017671962/300/avengers_infinity_war.jpg
176,Avengers: Endgame,2019,3 h 01 min.,"Action, Aventure, Fantasy",https://media.senscritique.com/media/000018476719/300/avengers_endgame.jpg
177,Trainspotting,1996,1 h 34 min.,Comédie dramatique,https://media.senscritique.com/media/000004889078/300/trainspotting.jpg
178,Le Mécano de la Générale,1926,1 h 18 min.,"Muet, Action, Aventure",https://media.senscritique.com/media/000019174375/300/le_mecano_de_la_generale.jpg
179,Autant en emporte le vent,1939,3 h 58 min.,"Drame, Historique, Romance",https://media.senscritique.com/media/000012324780/300/autant_en_emporte_le_vent.jpg
180,The Thing,1982,1 h 44 min.,"Épouvante-Horreur, Science-fiction",https://media.senscritique.com/media/000012652206/300/the_thing.jpg
181,Fargo,1996,1 h 38 min.,"Policier, Drame, Thriller",https://media.senscritique.com/media/000012397693/300/fargo.jpg
